publication_id,publication_name,publication_image,sc_number,tags,pdf_pass
1,VRマップの自動生成,3Dマップ自動生成.png,1922074,VR,./static/3Dマップ自動生成
2,研究・活動内容掲載プラットフォーム,sea_2.png,1922074,Web,./static/sea_2.pdf
3,最適経路の算出,sea_3.png,1922074,AI,./static/sea_3.pdf
4,交通機関のルート検索を一括化,sea_4.png,1922074,AI,./static/sea_4.pdf
5,人工知能における人間の役割,sea_5.png,1922074,AI,./static/sea_5.pdf
6,インフルエンザとワクチンの効能について,sea_6.png,1922074,Web,./static/sea_6.pdf
7,マーケティングにおけるデータサイエンスとは,sea_7.png,1922074,iOS,./static/sea_7.pdf
8,VR空間の自動生成研究,sea_8.png,1922074,XR,./static/sea_8.pdf
9,リレーショナルDBの構築、考察,sea_9.png,1922074,Web,./static/sea_9.pdf
10,2020年オープンキャンパス展示作品,sea_10.png,1922074,VR,./static/sea_10.pdf
11,授業内容検索アプリ開発,sea_11.png,1922074,Web,./static/sea_11.pdf
12,機械学習利用のアイデア提案,sea_12.png,1922074,AI,./static/sea_12.pdf
13,db_test,sea_13.png,1922074,Web,./static/sea_13.pdf
14,db_test,sea_13.png,1922074,Web,./static/sea_13.pdf
15,db_test,sea_13.png,1922074,iOS,./static/sea_13.pdf
16,db_test,sea_13.png,1922074,Unity,./static/sea_13.pdf
17,db_test,sea_13.png,1922074,Unity,./static/sea_13.pdf
18,db_test,sea_13.png,1922074,VR,./static/sea_13.pdf
19,db_test,sea_13.png,1922074,XR,./static/sea_13.pdf
20,db_test,sea_13.png,1922074,XR,./static/sea_13.pdf